,US500,NAS100
1881-12-07,5.324459234608985,5.324459234608985
1881-12-08,5.324459234608985,5.324459234608985
1881-12-09,5.324459234608985,5.324459234608985
1881-12-12,5.324459234608985,5.324459234608985
1881-12-13,5.324459234608985,5.324459234608985
1881-12-14,5.324459234608985,5.324459234608985
1881-12-15,5.324459234608985,5.324459234608985
1881-12-16,5.324459234608985,5.324459234608985
1881-12-19,5.324459234608985,5.324459234608985
1881-12-20,5.324459234608985,5.324459234608985
1881-12-21,5.324459234608985,5.324459234608985
1881-12-22,5.324459234608985,5.324459234608985
1881-12-23,5.324459234608985,5.324459234608985
1881-12-26,5.324459234608985,5.324459234608985
1881-12-27,5.324459234608985,5.324459234608985
1881-12-28,5.324459234608985,5.324459234608985
1881-12-29,5.324459234608985,5.324459234608985
1881-12-30,5.324459234608985,5.324459234608985
1882-01-02,5.324459234608985,5.324459234608985
1882-01-03,5.324459234608985,5.324459234608985
1882-01-04,5.324459234608985,5.324459234608985
1882-01-05,5.324459234608985,5.324459234608985
1882-01-06,5.324459234608985,5.324459234608985
1882-01-09,5.324459234608985,5.324459234608985
1882-01-10,5.324459234608985,5.324459234608985
1882-01-11,5.324459234608985,5.324459234608985
1882-01-12,5.324459234608985,5.324459234608985
1882-01-13,5.324459234608985,5.324459234608985
1882-01-16,5.324459234608985,5.324459234608985
1882-01-17,5.324459234608985,5.324459234608985
1882-01-18,5.324459234608985,5.324459234608985
1882-01-19,5.324459234608985,5.324459234608985
1882-01-20,5.324459234608985,5.324459234608985
1882-01-23,5.324459234608985,5.324459234608985
1882-01-24,5.324459234608985,5.324459234608985
1882-01-25,5.324459234608985,5.324459234608985
1882-01-26,5.324459234608985,5.324459234608985
1882-01-27,5.324459234608985,5.324459234608985
1882-01-30,5.324459234608985,5.324459234608985
1882-01-31,5.324459234608985,5.324459234608985
1882-02-01,5.526770293609672,5.526770293609672
1882-02-02,5.526770293609672,5.526770293609672
1882-02-03,5.526770293609672,5.526770293609672
1882-02-06,5.526770293609672,5.526770293609672
1882-02-07,5.526770293609672,5.526770293609672
1882-02-08,5.526770293609672,5.526770293609672
1882-02-09,5.526770293609672,5.526770293609672
1882-02-10,5.526770293609672,5.526770293609672
1882-02-13,5.526770293609672,5.526770293609672
1882-02-14,5.526770293609672,5.526770293609672
1882-02-15,5.526770293609672,5.526770293609672
1882-02-16,5.526770293609672,5.526770293609672
1882-02-17,5.526770293609672,5.526770293609672
1882-02-20,5.526770293609672,5.526770293609672
1882-02-21,5.526770293609672,5.526770293609672
1882-02-22,5.526770293609672,5.526770293609672
1882-02-23,5.526770293609672,5.526770293609672
1882-02-24,5.526770293609672,5.526770293609672
1882-02-27,5.526770293609672,5.526770293609672
1882-02-28,5.526770293609672,5.526770293609672
1882-03-01,5.536332179930796,5.536332179930796
1882-03-02,5.536332179930796,5.536332179930796
1882-03-03,5.536332179930796,5.536332179930796
1882-03-06,5.536332179930796,5.536332179930796
1882-03-07,5.536332179930796,5.536332179930796
1882-03-08,5.536332179930796,5.536332179930796
1882-03-09,5.536332179930796,5.536332179930796
1882-03-10,5.536332179930796,5.536332179930796
1882-03-13,5.536332179930796,5.536332179930796
1882-03-14,5.536332179930796,5.536332179930796
1882-03-15,5.536332179930796,5.536332179930796
1882-03-16,5.536332179930796,5.536332179930796
1882-03-17,5.536332179930796,5.536332179930796
1882-03-20,5.536332179930796,5.536332179930796
1882-03-21,5.536332179930796,5.536332179930796
1882-03-22,5.536332179930796,5.536332179930796
1882-03-23,5.536332179930796,5.536332179930796
1882-03-24,5.536332179930796,5.536332179930796
1882-03-27,5.536332179930796,5.536332179930796
1882-03-28,5.536332179930796,5.536332179930796
1882-03-29,5.536332179930796,5.536332179930796
1882-03-30,5.536332179930796,5.536332179930796
1882-03-31,5.536332179930796,5.536332179930796
1882-04-03,5.536332179930796,5.536332179930796
1882-04-04,5.536332179930796,5.536332179930796
1882-04-05,5.536332179930796,5.536332179930796
1882-04-06,5.536332179930796,5.536332179930796
1882-04-07,5.536332179930796,5.536332179930796
1882-04-10,5.536332179930796,5.536332179930796
1882-04-11,5.536332179930796,5.536332179930796
1882-04-12,5.536332179930796,5.536332179930796
1882-04-13,5.536332179930796,5.536332179930796
1882-04-14,5.536332179930796,5.536332179930796
1882-04-17,5.536332179930796,5.536332179930796
1882-04-18,5.536332179930796,5.536332179930796
